Address_Index,Input_Z_Sample,Output_Sigmoid,LUT_Value_Q1_7_8
911,3.90518084,0.98026019,251
912,3.91495601,0.98044846,251
913,3.92473118,0.98063497,251
914,3.93450635,0.98081973,251
915,3.94428152,0.98100276,251
916,3.95405670,0.98118408,251
917,3.96383187,0.98136370,251
918,3.97360704,0.98154164,251
919,3.98338221,0.98171791,251
920,3.99315738,0.98189253,251
921,4.00293255,0.98206551,251
922,4.01270772,0.98223687,251
923,4.02248289,0.98240663,251
924,4.03225806,0.98257478,252
925,4.04203324,0.98274136,252
926,4.05180841,0.98290638,252
927,4.06158358,0.98306984,252
928,4.07135875,0.98323177,252
929,4.08113392,0.98339217,252
930,4.09090909,0.98355107,252
931,4.10068426,0.98370847,252
932,4.11045943,0.98386439,252
933,4.12023460,0.98401884,252
934,4.13000978,0.98417184,252
935,4.13978495,0.98432339,252
936,4.14956012,0.98447352,252
937,4.15933529,0.98462223,252
938,4.16911046,0.98476954,252
939,4.17888563,0.98491546,252
940,4.18866080,0.98506001,252
941,4.19843597,0.98520319,252
942,4.20821114,0.98534501,252
943,4.21798631,0.98548550,252
944,4.22776149,0.98562466,252
945,4.23753666,0.98576251,252
946,4.24731183,0.98589905,252
947,4.25708700,0.98603430,252
948,4.26686217,0.98616828,252
949,4.27663734,0.98630098,252
950,4.28641251,0.98643243,253
951,4.29618768,0.98656264,253
952,4.30596285,0.98669161,253
953,4.31573803,0.98681936,253
954,4.32551320,0.98694590,253
955,4.33528837,0.98707125,253
956,4.34506354,0.98719540,253
957,4.35483871,0.98731838,253
958,4.36461388,0.98744019,253
959,4.37438905,0.98756085,253
960,4.38416422,0.98768036,253
961,4.39393939,0.98779874,253
962,4.40371457,0.98791599,253
963,4.41348974,0.98803213,253
964,4.42326491,0.98814717,253
965,4.43304008,0.98826111,253
966,4.44281525,0.98837398,253
967,4.45259042,0.98848577,253
968,4.46236559,0.98859650,253
969,4.47214076,0.98870617,253
970,4.48191593,0.98881480,253
971,4.49169110,0.98892240,253
972,4.50146628,0.98902898,253
973,4.51124145,0.98913454,253
974,4.52101662,0.98923910,253
975,4.53079179,0.98934266,253
976,4.54056696,0.98944523,253
977,4.55034213,0.98954683,253
978,4.56011730,0.98964746,253
979,4.56989247,0.98974714,253
980,4.57966764,0.98984586,253
981,4.58944282,0.98994364,253
982,4.59921799,0.99004049,253
983,4.60899316,0.99013642,253
984,4.61876833,0.99023143,253
985,4.62854350,0.99032553,254
986,4.63831867,0.99041874,254
987,4.64809384,0.99051106,254
988,4.65786901,0.99060249,254
989,4.66764418,0.99069306,254
990,4.67741935,0.99078276,254
991,4.68719453,0.99087160,254
992,4.69696970,0.99095959,254
993,4.70674487,0.99104675,254
994,4.71652004,0.99113307,254
995,4.72629521,0.99121856,254
996,4.73607038,0.99130324,254
997,4.74584555,0.99138711,254
998,4.75562072,0.99147018,254
999,4.76539589,0.99155245,254
1000,4.77517107,0.99163394,254
1001,4.78494624,0.99171465,254
1002,4.79472141,0.99179458,254
1003,4.80449658,0.99187375,254
1004,4.81427175,0.99195216,254
1005,4.82404692,0.99202983,254
1006,4.83382209,0.99210674,254
1007,4.84359726,0.99218293,254
1008,4.85337243,0.99225838,254
1009,4.86314761,0.99233311,254
1010,4.87292278,0.99240712,254
1011,4.88269795,0.99248043,254
1012,4.89247312,0.99255303,254
1013,4.90224829,0.99262494,254
1014,4.91202346,0.99269615,254
1015,4.92179863,0.99276669,254
1016,4.93157380,0.99283655,254
1017,4.94134897,0.99290573,254
1018,4.95112414,0.99297426,254
1019,4.96089932,0.99304213,254
1020,4.97067449,0.99310934,254
1021,4.98044966,0.99317592,254
1022,4.99022483,0.99324185,254
1023,5.00000000,0.99330715,254
