Address_Index,Input_Z_Sample,Output_Tanh,LUT_Value_Q1_7_8
166,-3.37732160,-0.99767180,-255
167,-3.36754643,-0.99762589,-255
168,-3.35777126,-0.99757908,-255
169,-3.34799609,-0.99753134,-255
170,-3.33822092,-0.99748266,-255
171,-3.32844575,-0.99743303,-255
172,-3.31867058,-0.99738242,-255
173,-3.30889541,-0.99733081,-255
174,-3.29912023,-0.99727818,-255
175,-3.28934506,-0.99722452,-255
176,-3.27956989,-0.99716980,-255
177,-3.26979472,-0.99711401,-255
178,-3.26001955,-0.99705711,-255
179,-3.25024438,-0.99699910,-255
180,-3.24046921,-0.99693995,-255
181,-3.23069404,-0.99687963,-255
182,-3.22091887,-0.99681812,-255
183,-3.21114370,-0.99675540,-255
184,-3.20136852,-0.99669145,-255
185,-3.19159335,-0.99662624,-255
186,-3.18181818,-0.99655975,-255
187,-3.17204301,-0.99649195,-255
188,-3.16226784,-0.99642281,-255
189,-3.15249267,-0.99635232,-255
190,-3.14271750,-0.99628044,-255
191,-3.13294233,-0.99620714,-255
192,-3.12316716,-0.99613241,-255
193,-3.11339198,-0.99605620,-255
194,-3.10361681,-0.99597850,-255
195,-3.09384164,-0.99589926,-255
196,-3.08406647,-0.99581847,-255
197,-3.07429130,-0.99573609,-255
198,-3.06451613,-0.99565210,-255
199,-3.05474096,-0.99556645,-255
200,-3.04496579,-0.99547911,-255
201,-3.03519062,-0.99539007,-255
202,-3.02541544,-0.99529927,-255
203,-3.01564027,-0.99520668,-255
204,-3.00586510,-0.99511228,-255
205,-2.99608993,-0.99501603,-255
206,-2.98631476,-0.99491788,-255
207,-2.97653959,-0.99481780,-255
208,-2.96676442,-0.99471576,-255
209,-2.95698925,-0.99461172,-255
210,-2.94721408,-0.99450563,-255
211,-2.93743891,-0.99439746,-255
212,-2.92766373,-0.99428717,-255
213,-2.91788856,-0.99417471,-255
214,-2.90811339,-0.99406005,-254
215,-2.89833822,-0.99394313,-254
216,-2.88856305,-0.99382392,-254
217,-2.87878788,-0.99370237,-254
218,-2.86901271,-0.99357844,-254
219,-2.85923754,-0.99345208,-254
220,-2.84946237,-0.99332323,-254
221,-2.83968719,-0.99319187,-254
